screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition,trust
MOOC5,1,0,2,2,2,False,1,0,0,Facebook,5,N1,4
RamanSinghFans,2,2,1,1,0,False,6,1,6,Twitter Web Client,5,N0,3
rani_prani6994,2,2,1,3,1,False,7,4,3,Twitter for Android,7,N0,3
gauravdporwal,1,2,2,1,2,False,9,2,4,Facebook,5,N0,3
GoodPplSuffer,0,1,1,1,0,False,0,2,4,Twitter for iPhone,4,N0,3
NimishLakhani,1,3,2,2,1,False,6,3,3,Twitter for iPhone,6,N1,4
iAmHrit,1,3,0,1,2,False,6,1,5,Twitter for Android,6,N0,3
Avneep_Nair,0,3,1,1,1,False,5,4,0,Twitter for Windows Phone,4,N0,3
Happy_Platz,0,1,1,2,0,False,3,4,0,Mobile Web (M5),5,N0,3
piyushpth,2,2,2,1,3,False,4,4,0,Mobile Web (M5),4,N1,4
jaydip_d,1,1,1,0,1,False,8,3,5,Twitter for Android,7,N0,3
Abhi_ASE,1,0,1,0,2,False,2,0,3,Facebook,5,N7,1
Prathosh,2,1,2,2,1,False,9,1,6,Twitter for Android,6,N1,4
vivekaggarwal78,2,0,1,1,3,False,1,0,0,Twitter for Android,3,N0,3
meradesh_mahaan,2,2,1,1,4,False,9,0,4,Twitter Web Client,6,N0,3
chinnusenthil1,1,0,2,1,0,False,5,1,6,Twitter Web Client,5,N0,3
sudheerb2000,1,3,0,2,1,False,7,3,4,Twitter for Android,4,N7,1
jai98777,1,3,0,2,2,False,0,4,3,Twitter for Android,4,N7,1
HossainRafay,0,3,1,1,0,False,6,4,0,Twitter for iPhone,6,N0,3
agnisvann,1,1,2,2,2,False,3,0,3,Google,5,N1,4
nuggettoffy,0,2,1,1,2,False,8,4,0,Mobile Web (M5),5,N0,3
devesh2690,2,2,1,1,1,False,4,3,5,Twitter for iPhone,5,N0,3
Mohanac23448078,0,1,1,2,0,False,3,2,4,Twitter for Android,4,N0,3
OVBICanada,1,3,2,1,1,False,8,1,5,Facebook,6,N0,3
anandchati,2,1,1,0,3,False,0,4,0,Twitter for iPhone,6,N7,1
kdleo1,2,1,1,1,4,False,7,2,0,Twitter for Android,7,N0,3
ashi4581,1,0,1,1,2,False,9,0,4,Twitter Web Client,3,N0,3
maninhart,1,2,2,2,1,False,2,3,3,Twitter for Windows Phone,5,N1,4
ZoherMalkapurw2,1,4,2,2,1,False,6,3,3,Twitter for Android,4,N1,4
DrHarish_Joshi,2,0,1,1,0,False,0,1,6,Facebook,6,N0,3
tahmidoha,1,3,2,2,3,False,3,4,0,Twitter for Android,7,N0,3
kaushalkumarya,1,3,0,1,2,False,7,4,0,Mobile Web (M5),5,N0,3
saharsa_india,2,2,1,1,0,False,4,0,4,Mobile Web (M5),5,N0,3
ATamariya,0,1,2,2,1,False,1,4,3,Twitter for Android,4,N1,4
KarulkarGirish,2,3,1,1,2,False,8,1,5,Twitter Web Client,6,N0,3
thakkar2020,2,1,1,0,2,False,3,0,0,Twitter for iPhone,4,N7,1
MeradeshEek,0,0,1,1,0,False,9,2,0,TweetDeck,5,N7,1
GeekBoyOfficial,1,1,1,0,1,False,5,0,6,Twitter Web Client,6,N7,1
santanusen05,1,2,0,1,3,False,2,4,5,Twitter for Android,4,N0,3
voiceofsanjeev,1,1,2,2,1,False,6,2,4,Twitter for iPhone,5,N1,4
HumChutiye_Hai,0,0,1,1,0,False,9,3,0,TweetDeck,6,N7,1
mridulmayank9,1,2,2,2,1,False,0,4,0,Twitter for Android,7,N0,3
hspartha,1,3,2,1,3,False,5,3,3,Twitter for iPhone,6,N0,3
atulgbnup,2,0,1,1,0,False,7,1,0,RoundTeam,5,N0,3
TheManojGarg,1,1,3,2,0,False,4,4,3,Twitter for Android,6,N0,3
deviprasadv,2,2,1,1,2,False,5,4,4,Twitter for iPad,4,N0,3
namkeen_mirchi,0,1,1,2,1,False,0,0,3,Twitter for Android,3,N0,3
saileshpandey,1,3,0,2,2,False,8,4,0,Twitter for iPhone,5,N7,1
voyagergalactic,2,1,1,0,2,False,5,2,6,Twitter for Android,5,N7,1
manjeet_sc,1,2,0,1,1,False,2,1,5,Twitter for Android,4,N0,3
Young_Aawaaz,2,1,1,1,3,False,9,0,4,Twitter Web Client,5,N0,3
chandni_chawk,0,0,1,1,0,False,9,3,0,TweetDeck,6,N7,1
GhildiyalSaumya,1,2,2,1,1,False,3,3,4,Twitter for iPhone,4,N0,3
bhatti_gurman,1,0,2,2,1,False,2,3,0,Twitter for iPhone,6,N0,3
DjSreeraj,1,1,2,1,3,False,4,1,5,Twitter Web Client,5,N0,3
Shaliniddun,1,3,1,3,0,False,9,4,0,Twitter for Android,7,N0,3
sanjay_924,2,0,1,1,2,False,7,2,3,Twitter Web Client,6,N0,3
guptaak1960,1,1,2,2,1,False,0,0,3,Twitter for Windows Phone,5,N1,4
kdhupkar,2,3,1,2,3,False,0,4,4,Twitter for iPhone,6,N1,4
verma_parvati,2,2,0,1,0,False,6,4,0,Twitter for Android,7,N7,1
Guppi_Abhi,1,1,1,0,2,False,1,4,3,Twitter for Android,4,N0,3
hemantsinghrjpu,2,3,1,1,1,False,5,2,6,Twitter for Android,5,N0,3
sarojinsa19,0,0,1,2,1,False,8,2,0,Twitter for Android,7,N7,1
sancarbabu,1,2,0,1,2,False,3,3,4,Twitter for Android,5,N0,3
thecuriousindie,1,2,1,2,2,False,4,3,5,Twitter for iPhone,4,N0,3
SocialTamasha,1,1,2,1,3,False,8,1,3,TweetDeck,5,N0,3
indiarises,1,0,2,1,1,False,4,0,0,Paper.li,6,N0,3
singh_saurabh10,2,0,1,1,0,False,2,1,3,Twitter Web Client,5,N0,3
abhiirich,1,1,2,2,1,False,0,0,3,Facebook,5,N1,4
SRKgaurav1,1,3,1,3,0,False,5,4,0,Twitter for iPhone,6,N0,3
pnsureshkumar,2,1,1,1,3,False,1,4,5,Twitter Web Client,4,N0,3
PiyushInsan8,0,2,1,2,0,False,9,4,0,Twitter for Android,7,N0,3
manugurumanohar,2,3,1,1,4,False,2,2,4,Twitter for Android,6,N0,3
tannaparag,2,1,1,0,1,False,6,3,4,Twitter for Android,6,N7,1
shamshadshaique,1,2,0,1,1,False,8,2,0,Twitter for Android,3,N0,3
Mongol_Kublai,1,0,1,2,2,False,3,3,4,Twitter Web Client,4,N0,3
GauJ,2,2,2,1,2,False,4,4,3,Twitter for iPhone,5,N1,4
DSGAUR,1,0,0,1,1,False,1,0,0,Facebook,5,N7,1
Mohi8kr,1,3,1,2,1,False,9,1,5,TweetDeck,5,N0,3
aijazahmedit,1,1,1,2,0,False,0,0,3,Google,5,N0,3
pramodvrao,1,0,2,1,2,False,5,4,0,Twitter for iPhone,6,N0,3
masonma71,2,1,1,1,3,False,4,3,3,Twitter Web Client,4,N0,3
dahuja_rohit,0,2,1,1,0,False,7,4,0,Twitter for Android,8,N0,3
ReetaInsan,1,2,1,3,0,False,9,4,4,Twitter for Android,7,N0,3
anchitkhar,2,1,1,2,2,False,3,3,5,Twitter for Android,6,N0,3
RohanRohanrai,1,3,3,1,1,False,7,2,3,Twitter for Android,5,N0,3
JessicaLouviere,1,2,0,1,3,False,0,1,0,Twitter Web Client,6,N0,3
nglatne,2,1,2,1,2,False,3,4,0,Twitter for Android,3,N0,3
ShankarGopalak,2,0,1,1,1,False,7,2,0,Mobile Web (M5),4,N0,3
ashok6593,1,1,1,0,1,False,2,4,6,Twitter for iPhone,5,N0,3
BANGLARMAATI,1,0,1,2,0,False,5,0,5,Twitter Web Client,5,N0,3
FansShashi,1,3,1,2,0,False,8,1,0,TweetDeck,6,N0,3
ratnesh_4,1,2,2,1,1,False,4,3,3,Twitter for iPhone,6,N0,3
rchachra,2,1,1,1,3,False,1,4,4,Twitter for iPhone,4,N0,3
lazybsingh,1,3,1,3,0,False,0,0,3,Twitter for Android,4,N0,3
ankitadamya,2,1,0,1,2,False,2,3,4,Twitter for Android,5,N7,1
Jasveer71718596,0,3,1,2,2,False,9,4,3,Twitter for Android,6,N0,3
sunil_chhawari,1,2,2,1,1,False,6,2,0,TweetDeck,5,N0,3
P_morni00,1,2,0,2,1,False,5,4,0,Twitter for Android,7,N7,1
niranjanspeak,0,0,1,1,1,False,7,2,0,Twitter Web Client,5,N0,3
guptavanna,2,1,2,1,2,False,3,4,3,Twitter for iPhone,5,N1,4
iamshaina,1,1,1,2,0,False,3,0,5,Twitter Web Client,4,N0,3
indian_blooded,1,3,1,2,0,False,8,1,0,TweetDeck,6,N0,3
kanchu_sweet,2,2,1,1,3,False,4,1,6,Twitter for Android,6,N0,3
shubhi1622,1,1,0,1,0,False,9,4,5,Twitter for iPhone,4,N7,1
kulkarnisatish,1,0,1,0,2,False,7,3,4,Twitter for Android,6,N7,1
nsujoy,2,0,1,1,1,False,0,0,3,Facebook,5,N0,3
spsingh1402,1,3,1,2,2,False,9,3,6,Twitter for Android,4,N0,3
sunderlal_rwr,1,2,2,1,1,False,6,2,0,TweetDeck,5,N0,3
SonuBai64234791,1,1,0,2,3,False,8,4,3,Twitter for Android,6,N7,1
sivatalks,0,2,1,1,1,False,2,2,4,Twitter for Android,4,N0,3
abhi2rai,1,0,2,1,2,False,4,4,0,Fenix for Android,5,N0,3
Mohandeepak66,2,1,1,1,1,False,3,1,5,Twitter Web Client,5,N0,3
skwaseem18,0,2,1,2,0,False,1,3,0,Twitter for Android,6,N0,3
indraneel_guha,2,2,1,1,3,False,0,0,5,Twitter for iPhone,5,N0,3
Abhi_MSD,1,0,2,2,0,False,9,4,0,TweetDeck,5,N1,4
Suman_Basak_,1,1,0,1,2,False,1,4,3,Facebook,6,N0,3
jvij1967,1,0,1,0,1,False,5,1,0,Twitter for iPhone,6,N7,1
Dayanayakm,1,3,1,2,2,False,4,3,3,Twitter Web Client,4,N0,3
MadhupGarg,1,1,2,1,2,False,3,2,4,Twitter for Android,4,N0,3
SharmaDss,1,3,1,3,1,False,9,4,0,Twitter for Android,7,N0,3
The_Tausif,2,2,1,1,3,False,2,2,3,Twitter for Android,4,N0,3
krishnathakur,1,0,1,2,3,False,7,4,6,Twitter Web Client,5,N0,3
drsrt7,2,2,1,1,1,False,6,1,4,Twitter Web Client,5,N0,3
PittieAditya,2,2,1,0,1,False,8,3,0,Twitter for Android,6,N7,1
EOTONow,1,0,1,1,0,False,2,0,5,WordPress.com,5,N0,3
PM4India,3,0,1,1,0,False,0,4,0,Twitter for Android,7,N0,3
AnkurBisen1,1,1,2,1,1,False,1,2,3,Twitter for iPhone,5,N0,3
khanalmas46,1,2,0,1,2,False,5,4,0,Twitter for iPhone,6,N0,3
charan_86,1,3,1,2,1,False,4,3,0,Twitter for iPad,6,N0,3
Gan_Ven,1,1,2,1,2,False,3,3,3,Twitter for Android,6,N0,3
rebelchawla,1,3,1,2,1,False,9,1,0,TweetDeck,4,N0,3
WeareBezawada,2,1,1,1,3,False,4,1,4,Twitter for iPhone,5,N0,3
sinwithmusic,2,2,1,2,2,False,0,0,3,Twitter for Android,6,N0,3
khagesh85,1,1,0,1,1,False,6,4,6,Twitter for Android,4,N0,3
ManasaJainPTR,2,1,1,0,1,False,3,3,5,Twitter for Android,5,N7,1
AmroodAdmi,0,0,1,1,0,False,6,4,0,Twitter Web Client,5,N0,3
naumimalaviya,2,0,1,2,0,False,2,4,4,Twitter for Android,6,N0,3
ModiAntoinette,1,0,1,1,3,False,1,2,4,Twitter Web Client,5,N0,3
shankykumar21,1,2,0,1,0,False,9,4,0,Twitter for Android,7,N0,3
Hkveergurjar,1,2,1,2,2,False,8,3,0,Twitter for Windows Phone,6,N0,3
RounaqNeroy,1,1,2,1,1,False,3,1,3,Twitter for iPhone,5,N0,3
maheshsarkar377,1,3,1,2,1,False,0,2,5,Twitter for Android,4,N0,3
Yuva_Josh,1,1,0,1,2,False,9,0,0,Twitter Web Client,6,N7,1
shishupaul02,2,2,1,1,2,False,2,3,4,Twitter for iPhone,5,N0,3
Raisahab11,1,3,2,1,3,False,4,4,3,Twitter for Android,6,N0,3
